,Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,Population of two or more races:,FRACTotal,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Calc Total (Not Latino)
South Carolina,4014460.0,231124.0,3783336.0,3667057.0,116279.0,116279.0,2655447.35,982322.75,78119.283,23470.3,40527.167,3449.15,3783336.0
South Dakota,669255.0,23855.0,645400.0,626358.0,19042.0,19042.0,565100.017,12780.717,10977.767,3496.15,52447.683,597.667,645400.001
Tennessee,5384473.0,305717.0,5078756.0,4905355.0,173401.0,173401.0,4038388.417,831801.583,114451.45,30931.983,58944.733,4237.833,5078755.999
Texas,21866700.0,7907319.0,13959381.0,13383911.0,575470.0,575470.0,9692385.933,2646119.15,1261945.667,140343.167,188563.533,30023.55,13959381.0
Utah,2324051.0,316610.0,2007441.0,1939192.0,68249.0,68249.0,1829554.65,30121.483,72527.767,16652.4,30642.067,27942.633,2007441.0
Vermont,524482.0,11113.0,513369.0,493111.0,20258.0,20258.0,483964.75,7161.167,10250.333,4964.767,6749.75,278.233,513369.0
Virginia,6745054.0,614314.0,6130740.0,5889671.0,241069.0,241069.0,4241019.0,1263236.8,511401.417,51574.683,55219.817,8288.283,6130740.0
Washington,6024689.0,690674.0,5334015.0,5010567.0,323448.0,323448.0,4204354.75,252153.5,634101.217,65765.333,122493.85,55146.35,5334015.0
West Virginia,1432932.0,23483.0,1409449.0,1363350.0,46099.0,46099.0,1315082.3,56548.333,13977.75,8137.167,15064.083,639.367,1409449.0
Wisconsin,4612300.0,284069.0,4328231.0,4208416.0,119815.0,119815.0,3830475.383,271639.517,134912.133,29303.1,59200.217,2700.65,4328231.0
Wyoming,441337.0,38153.0,403184.0,387844.0,15340.0,15340.0,377428.85,4453.6,5077.85,3980.683,11661.433,581.583,403183.999
Puerto Rico,2724903.0,2692743.0,32160.0,30186.0,1974.0,1974.0,22406.867,4093.033,2562.4,2589.9,413.733,94.067,32160.0
