,Total:,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,Population of two or more races:,FRACTotal,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Calc Total (Not Latino)
"Baraboo, WI Micro Area",65763.0,4050.0,61713.0,59767.0,1946.0,1946.0,58799.167,800.5,492.167,471.833,1113.667,35.667,61713.001
"Bardstown, KY Micro Area",46738.0,1214.0,45524.0,43758.0,1766.0,1766.0,41960.25,2547.417,356.417,233.167,405.667,21.083,45524.001
"Barnstable Town, MA Metro Area",228996.0,7908.0,221088.0,208758.0,12330.0,12330.0,199992.0,7861.0,3790.833,7163.083,2145.833,135.25,221087.999
"Barre, VT Micro Area",59807.0,1569.0,58238.0,55425.0,2813.0,2813.0,55080.083,804.417,802.833,727.25,783.417,40.0,58238.0
"Bartlesville, OK Micro Area",52455.0,3360.0,49095.0,42829.0,6266.0,6266.0,38145.667,1800.0,1122.667,326.5,7657.833,42.333,49095.0
"Batavia, NY Micro Area",58388.0,2752.0,55636.0,53280.0,2356.0,2356.0,52088.717,1729.617,522.533,475.533,797.45,22.15,55636.0
"Batesville, AR Micro Area",55209.0,3620.0,51589.0,49002.0,2587.0,2587.0,48497.333,1172.917,490.25,369.167,997.833,61.5,51589.0
"Baton Rouge, LA Metro Area",870569.0,55184.0,815385.0,790110.0,25275.0,25275.0,477902.75,305627.133,19578.5,5374.917,6464.05,437.65,815385.0
"Battle Creek, MI Metro Area",134310.0,7426.0,126884.0,119640.0,7244.0,7244.0,103775.917,15974.417,4020.167,1098.667,1944.917,69.917,126884.002
"Bay City, MI Metro Area",103856.0,5930.0,97926.0,93563.0,4363.0,4363.0,92935.75,2256.083,710.367,762.467,1241.167,20.167,97926.001
"Bay City, TX Micro Area",36255.0,15455.0,20800.0,19998.0,802.0,802.0,15728.1,3866.517,741.183,197.583,254.017,12.6,20800.0
"Beatrice, NE Micro Area",21704.0,635.0,21069.0,20396.0,673.0,673.0,20385.9,196.233,122.733,112.567,245.667,5.9,21069.0
"Beaumont-Port Arthur, TX Metro Area",397565.0,69597.0,327968.0,316720.0,11248.0,11248.0,212952.983,96850.317,12135.983,2392.5,3437.9,198.317,327968.0
"Beaver Dam, WI Micro Area",89396.0,5490.0,83906.0,81643.0,2263.0,2263.0,78935.75,2945.833,644.583,527.417,833.417,19.0,83906.0
"Beckley, WV Metro Area",115079.0,1722.0,113357.0,108713.0,4644.0,4644.0,102033.083,8191.417,1070.917,712.667,1300.083,48.833,113357.0
"Bedford, IN Micro Area",45011.0,765.0,44246.0,42850.0,1396.0,1396.0,42897.333,303.833,280.0,213.833,535.417,15.583,44245.999
"Beeville, TX Micro Area",31047.0,19392.0,11655.0,11248.0,407.0,407.0,8785.833,2361.75,233.417,125.333,136.583,12.083,11654.999
"Bellefontaine, OH Micro Area",46150.0,1004.0,45146.0,43024.0,2122.0,2122.0,42758.6,1009.6,443.667,351.017,551.433,31.683,45146.0
"Bellingham, WA Metro Area",226847.0,22825.0,204022.0,190027.0,13995.0,13995.0,176894.167,3330.6,12101.417,2859.133,7747.083,1089.6,204022.0
"Bemidji, MN Micro Area",46228.0,1108.0,45120.0,42579.0,2541.0,2541.0,33634.0,688.5,394.0,372.167,10002.5,28.833,45120.0
"Bend, OR Metro Area",198253.0,17237.0,181016.0,170227.0,10789.0,10789.0,169790.7,1294.417,3692.367,2506.65,3148.95,582.917,181016.001
"Bennettsville, SC Micro Area",26667.0,575.0,26092.0,25133.0,959.0,959.0,10961.167,13543.833,106.0,84.083,1389.083,7.833,26091.999
"Bennington, VT Micro Area",37347.0,939.0,36408.0,34886.0,1522.0,1522.0,34633.417,534.0,493.75,338.333,396.083,12.417,36408.0
"Berlin, NH Micro Area",31268.0,672.0,30596.0,29474.0,1122.0,1122.0,29174.933,555.183,253.15,202.267,401.933,8.533,30595.999
"Big Rapids, MI Micro Area",39714.0,1026.0,38688.0,36927.0,1761.0,1761.0,36356.917,999.917,391.083,339.083,584.0,17.0,38688.0
"Big Spring, TX Micro Area",34860.0,16174.0,18686.0,17869.0,817.0,817.0,16063.5,1632.5,430.25,120.583,423.5,15.667,18686.0
"Big Stone Gap, VA Micro Area",39817.0,533.0,39284.0,38099.0,1185.0,1185.0,36377.233,2105.9,215.15,198.15,366.233,21.333,39283.999
"Billings, MT Metro Area",184167.0,10645.0,173522.0,164355.0,9167.0,9167.0,158596.25,1909.833,1948.0,1765.0,8922.083,380.833,173521.999
"Binghamton, NY Metro Area",247138.0,11402.0,235736.0,223629.0,12107.0,12107.0,205978.3,13951.55,10498.1,2700.117,2425.05,182.883,235736.0
"Birmingham-Hoover, AL Metro Area",1115289.0,64820.0,1050469.0,1014880.0,35589.0,35589.0,679165.083,332278.583,21617.467,6154.567,10533.5,719.8,1050469.0
"Bismarck, ND Metro Area",133626.0,4424.0,129202.0,124768.0,4434.0,4434.0,117008.533,3115.7,1532.2,647.2,6472.667,425.7,129202.0
"Blackfoot, ID Micro Area",47992.0,8331.0,39661.0,38312.0,1349.0,1349.0,35579.167,187.0,327.75,268.0,3223.25,75.833,39661.0
"Blacksburg-Christiansburg, VA Metro Area",166378.0,6364.0,160014.0,153105.0,6909.0,6909.0,138591.067,9151.817,9581.4,1198.1,1401.067,90.55,160014.001
"Bloomington, IL Metro Area",170954.0,10524.0,160430.0,153161.0,7269.0,7269.0,132860.333,16190.833,8745.167,1173.0,1374.583,86.083,160429.999
"Bloomington, IN Metro Area",161039.0,6655.0,154384.0,146765.0,7619.0,7619.0,135948.767,6133.183,9306.733,1302.45,1585.267,107.6,154384.0
"Bloomsburg-Berwick, PA Metro Area",82863.0,2627.0,80236.0,77835.0,2401.0,2401.0,76079.05,1474.383,1598.717,457.95,584.717,41.183,80236.0
"Bluefield, WV-VA Micro Area",106363.0,1272.0,105091.0,101257.0,3834.0,3834.0,97296.5,5487.083,623.917,543.833,1097.25,42.417,105091.0
"Bluffton, IN Micro Area",28180.0,1019.0,27161.0,26445.0,716.0,716.0,26340.75,300.75,163.083,123.167,222.25,11.0,27161.0
"Blytheville, AR Micro Area",40685.0,1771.0,38914.0,37522.0,1392.0,1392.0,23463.95,14592.283,272.2,224.117,355.25,6.2,38914.0
"Bogalusa, LA Micro Area",45463.0,1410.0,44053.0,42721.0,1332.0,1332.0,30197.817,13005.317,190.983,220.4,431.233,7.25,44053.0
"Boise City, ID Metro Area",764718.0,109350.0,655368.0,619129.0,36239.0,36239.0,601742.567,11588.267,20599.1,8036.417,10560.933,2840.717,655368.001
"Bonham, TX Micro Area",35662.0,4218.0,31444.0,29827.0,1617.0,1617.0,27824.583,2364.0,213.417,225.25,792.667,24.083,31444.0
"Boone, NC Micro Area",54086.0,3521.0,50565.0,48556.0,2009.0,2009.0,45897.05,2322.967,1141.717,624.467,487.467,91.333,50565.001
"Borger, TX Micro Area",20617.0,4961.0,15656.0,14631.0,1025.0,1025.0,14278.333,519.5,139.833,129.5,583.333,5.5,15655.999
"Boston-Cambridge-Newton, MA-NH Metro Area",4941632.0,580852.0,4360780.0,4132297.0,228483.0,228483.0,3383138.15,377988.567,452451.617,123966.133,20464.433,2771.1,4360780.0
"Boulder, CO Metro Area",330758.0,48168.0,282590.0,267816.0,14774.0,14774.0,252303.833,4219.417,18899.5,3860.833,2886.583,419.833,282589.999
"Bowling Green, KY Metro Area",179639.0,10763.0,168876.0,161809.0,7067.0,7067.0,142876.417,14479.833,7869.5,1220.167,1678.0,752.083,168876.0
"Bozeman, MT Micro Area",118960.0,5895.0,113065.0,107447.0,5618.0,5618.0,106734.233,774.0,1998.9,1479.9,1920.4,157.567,113065.0
"Bradford, PA Micro Area",40432.0,642.0,39790.0,38219.0,1571.0,1571.0,37749.917,965.5,254.917,352.833,452.083,14.75,39790.0
"Brainerd, MN Micro Area",96189.0,1338.0,94851.0,91219.0,3632.0,3632.0,87673.583,731.75,635.417,877.083,4886.333,46.833,94850.999
"Branson, MO Micro Area",56066.0,4329.0,51737.0,48689.0,3048.0,3048.0,47918.917,1046.083,784.917,457.833,1297.583,231.667,51737.0
"Breckenridge, CO Micro Area",31055.0,5335.0,25720.0,24658.0,1062.0,1062.0,24280.267,305.767,550.183,317.683,219.183,46.917,25720.0
"Bremerton-Silverdale-Port Orchard, WA Metro Area",275611.0,24184.0,251427.0,228460.0,22967.0,22967.0,209315.45,9532.35,18298.617,3555.383,6762.683,3962.517,251427.0
"Brenham, TX Micro Area",35805.0,6425.0,29380.0,28354.0,1026.0,1026.0,22508.133,5703.8,590.967,282.133,273.133,21.833,29379.999
"Brevard, NC Micro Area",32986.0,1698.0,31288.0,29981.0,1307.0,1307.0,29155.6,1210.1,244.267,209.933,435.1,33.0,31288.0
"Bridgeport-Stamford-Norwalk, CT Metro Area",957419.0,205351.0,752068.0,715131.0,36937.0,36937.0,568384.217,105146.217,55223.3,19833.283,3056.767,424.217,752068.001
"Brookhaven, MS Micro Area",34907.0,406.0,34501.0,33791.0,710.0,710.0,23310.583,10630.233,197.483,131.4,216.317,14.983,34500.999
"Brookings, OR Micro Area",23446.0,1674.0,21772.0,20330.0,1442.0,1442.0,20125.4,131.0,304.4,306.233,858.15,46.817,21772.0
"Brookings, SD Micro Area",34375.0,1427.0,32948.0,31911.0,1037.0,1037.0,30424.833,725.167,1014.5,155.333,610.667,17.5,32948.0
"Brownsville, TN Micro Area",17864.0,838.0,17026.0,16668.0,358.0,358.0,7709.6,9090.85,34.6,89.6,92.933,8.417,17026.0
"Brownsville-Harlingen, TX Metro Area",421017.0,376680.0,44337.0,42399.0,1938.0,1938.0,38006.65,1589.15,2754.4,1177.15,690.317,119.333,44337.0
"Brownwood, TX Micro Area",38095.0,8211.0,29884.0,28551.0,1333.0,1333.0,27310.233,1506.233,310.5,220.4,495.4,41.233,29883.999
"Brunswick, GA Metro Area",113495.0,6893.0,106602.0,102599.0,4003.0,4003.0,78151.017,24947.6,1519.35,740.85,1098.733,144.45,106602.0
"Bucyrus-Galion, OH Micro Area",42025.0,638.0,41387.0,39946.0,1441.0,1441.0,40084.583,489.833,179.417,225.583,391.75,15.833,41386.999
"Buffalo-Cheektowaga, NY Metro Area",1166902.0,67476.0,1099426.0,1057732.0,41694.0,41694.0,870847.683,154377.683,52214.35,8383.867,13068.517,533.9,1099426.0
"Burley, ID Micro Area",46268.0,15095.0,31173.0,30131.0,1042.0,1042.0,29965.433,133.6,291.267,268.933,445.767,68.0,31173.0
"Burlington, IA-IL Micro Area",45297.0,1357.0,43940.0,41981.0,1959.0,1959.0,39747.533,2945.533,508.533,286.167,404.367,47.867,43940.0
"Burlington, NC Metro Area",171415.0,24703.0,146712.0,140285.0,6427.0,6427.0,105214.733,35060.067,3232.483,1213.6,1855.583,135.533,146711.999
"Burlington-South Burlington, VT Metro Area",225562.0,5793.0,219769.0,209264.0,10505.0,10505.0,199867.833,5968.833,8572.5,2201.167,3026.417,132.25,219769.0
"Butte-Silver Bow, MT Micro Area",35133.0,1638.0,33495.0,32055.0,1440.0,1440.0,31785.783,186.617,285.7,336.25,857.95,42.7,33495.0
"Cadillac, MI Micro Area",48725.0,1289.0,47436.0,45520.0,1916.0,1916.0,45648.883,362.55,330.383,423.583,660.55,10.05,47435.999
"Calhoun, GA Micro Area",57544.0,8957.0,48587.0,46371.0,2216.0,2216.0,44363.833,2375.5,805.417,293.167,716.083,33.0,48587.0
"California-Lexington Park, MD Metro Area",113777.0,6545.0,107232.0,100465.0,6767.0,6767.0,83273.783,17229.033,4185.783,1039.917,1327.45,176.033,107231.999
"Cambridge, MD Micro Area",32531.0,1777.0,30754.0,29490.0,1264.0,1264.0,20457.783,9363.117,414.783,202.533,300.783,15.0,30753.999
"Cambridge, OH Micro Area",38438.0,444.0,37994.0,36545.0,1449.0,1449.0,36410.917,724.75,194.5,210.75,440.25,12.833,37994.0
"Camden, AR Micro Area",27389.0,643.0,26746.0,25603.0,1143.0,1143.0,16094.667,10032.417,169.333,133.5,293.5,22.583,26746.0
"Campbellsville, KY Micro Area",37130.0,919.0,36211.0,34962.0,1249.0,1249.0,33682.4,1688.9,313.733,236.9,269.067,20.0,36211.0
"Cañon City, CO Micro Area",48939.0,6049.0,42890.0,40809.0,2081.0,2081.0,38729.317,1910.15,402.483,604.833,1185.9,57.317,42890.0
"Canton-Massillon, OH Metro Area",401574.0,10815.0,390759.0,370412.0,20347.0,20347.0,345296.067,32996.233,4074.817,3698.033,4496.867,196.983,390759.0
"Cape Coral-Fort Myers, FL Metro Area",760822.0,173161.0,587661.0,564669.0,22992.0,22992.0,500996.017,59319.183,14636.15,7892.267,4364.35,453.033,587661.0
"Cape Girardeau, MO-IL Metro Area",97517.0,2469.0,95048.0,90432.0,4616.0,4616.0,82754.5,8795.167,1538.0,630.667,1295.0,34.667,95048.001
"Carbondale-Marion, IL Metro Area",133435.0,5168.0,128267.0,122028.0,6239.0,6239.0,109548.933,12725.183,3178.017,1097.083,1648.267,69.517,128267.0
"Carlsbad-Artesia, NM Micro Area",62314.0,31307.0,31007.0,29473.0,1534.0,1534.0,27876.783,893.867,663.367,581.083,925.283,66.617,31007.0
"Carroll, IA Micro Area",20760.0,594.0,20166.0,19783.0,383.0,383.0,19598.617,309.617,97.7,67.25,88.617,4.2,20166.001
"Carson City, NV Metro Area",58639.0,14870.0,43769.0,40975.0,2794.0,2794.0,38388.367,1271.7,1694.783,576.567,1631.883,205.7,43769.0
"Casper, WY Metro Area",79955.0,7169.0,72786.0,69127.0,3659.0,3659.0,68381.75,1071.333,863.0,715.667,1616.75,137.5,72786.0
"Cedar City, UT Micro Area",57289.0,5482.0,51807.0,49955.0,1852.0,1852.0,48501.167,501.167,841.417,356.75,1271.75,334.75,51807.001
"Cedar Rapids, IA Metro Area",276520.0,9870.0,266650.0,254990.0,11660.0,11660.0,236497.033,19124.533,6339.283,1900.267,2168.033,620.85,266649.999
"Cedartown, GA Micro Area",42853.0,5585.0,37268.0,35797.0,1471.0,1471.0,30860.333,5384.5,282.0,249.833,460.667,30.667,37268.0
"Celina, OH Micro Area",42528.0,928.0,41600.0,40837.0,763.0,763.0,40119.083,286.75,243.583,152.5,227.167,570.917,41600.0
"Central City, KY Micro Area",30928.0,569.0,30359.0,29594.0,765.0,765.0,28568.917,1358.917,76.5,123.75,218.583,12.333,30359.0
"Centralia, IL Micro Area",37729.0,712.0,37017.0,35200.0,1817.0,1817.0,34018.167,1818.667,401.833,293.5,470.583,14.25,37017.0
"Centralia, WA Micro Area",82149.0,8830.0,73319.0,68360.0,4959.0,4959.0,67873.933,811.35,1169.183,948.25,2220.6,295.683,73318.999
"Chambersburg-Waynesboro, PA Metro Area",155932.0,10764.0,145168.0,139755.0,5413.0,5413.0,135133.567,5995.233,1718.65,1006.417,1233.817,80.317,145168.001
"Champaign-Urbana, IL Metro Area",222538.0,16913.0,205625.0,194989.0,10636.0,10636.0,145781.917,30411.167,25801.5,1855.0,1609.583,165.833,205625.0
"Charleston, WV Metro Area",258859.0,3306.0,255553.0,244597.0,10956.0,10956.0,232359.667,15730.25,2749.583,1698.583,2894.25,120.667,255553.0
"Charleston-Mattoon, IL Micro Area",57313.0,1880.0,55433.0,53355.0,2078.0,2078.0,51278.417,2380.25,751.583,422.333,557.667,42.75,55433.0
"Charleston-North Charleston, SC Metro Area",799636.0,60469.0,739167.0,705968.0,33199.0,33199.0,515273.65,187451.4,19769.983,7236.95,8305.983,1129.033,739166.999
"Charlotte-Concord-Gastonia, NC-SC Metro Area",2660329.0,312184.0,2348145.0,2246940.0,101205.0,101205.0,1581608.767,593005.9,123464.6,22062.717,26090.2,1912.817,2348145.001
"Charlottesville, VA Metro Area",221524.0,14760.0,206764.0,196757.0,10007.0,10007.0,163385.133,25249.217,14395.717,2030.233,1515.717,187.983,206764.0
"Chattanooga, TN-GA Metro Area",562647.0,32687.0,529960.0,506722.0,23238.0,23238.0,434684.45,73128.733,11179.367,3380.45,7146.9,440.1,529960.0
"Cheyenne, WY Metro Area",100512.0,15602.0,84910.0,79957.0,4953.0,4953.0,77614.75,2714.083,1706.0,1068.0,1571.417,235.75,84910.0
"Chicago-Naperville-Elgin, IL-IN-WI Metro Area",9618502.0,2239376.0,7379126.0,7097559.0,281567.0,281567.0,4949569.167,1591084.333,721953.067,68814.983,42850.717,4853.733,7379126.0
"Chico, CA Metro Area",211632.0,40112.0,171520.0,158046.0,13474.0,13474.0,145942.717,4385.967,11726.05,2339.883,6256.367,869.017,171520.001
"Chillicothe, OH Micro Area",77093.0,1031.0,76062.0,72484.0,3578.0,3578.0,69417.433,4671.6,502.933,464.667,973.1,32.267,76062.0
"Cincinnati, OH-KY-IN Metro Area",2256884.0,95073.0,2161811.0,2064802.0,97009.0,97009.0,1757813.317,288102.933,75070.017,17057.933,21022.6,2744.2,2161811.0
"Clarksburg, WV Micro Area",90434.0,1659.0,88775.0,85109.0,3666.0,3666.0,84574.95,1826.283,663.533,663.95,995.7,50.583,88774.999
"Clarksdale, MS Micro Area",21390.0,350.0,21040.0,20676.0,364.0,364.0,4414.833,16346.833,131.667,66.833,76.0,3.833,21039.999
"Clarksville, TN-KY Metro Area",320535.0,29339.0,291196.0,271847.0,19349.0,19349.0,210838.017,63911.233,7942.933,2823.65,4075.683,1604.483,291195.999
"Clearlake, CA Micro Area",68163.0,15442.0,52721.0,48512.0,4209.0,4209.0,46174.683,1479.933,1258.6,896.417,2712.767,198.6,52721.0
"Cleveland, MS Micro Area",30985.0,794.0,30191.0,29539.0,652.0,652.0,10214.283,19435.117,290.867,100.7,147.0,3.033,30191.0
"Cleveland, TN Metro Area",126164.0,8758.0,117406.0,111358.0,6048.0,6048.0,107024.533,5942.95,1465.617,824.083,1985.533,163.283,117405.999
"Cleveland-Elyria, OH Metro Area",2088251.0,133862.0,1954389.0,1874994.0,79395.0,79395.0,1443596.883,417887.083,59886.717,17099.317,14953.333,965.667,1954389.0
