,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,age_binned_11_18,age_binned_11_15,age_binned_7,age_binned_to_60,age_binned_7_diff,armed_3,armed_4_toy,armed_4,armed_5_toy,armed_7,state_name,PopEstimate2020,PopEstimate2021,city/state
25,2016-05-07,shot,gun,29,M,White,Lake Stevens,WA,TRUE,other,Not fleeing,FALSE,-122.065,48.048,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Lake Stevens, WA"
26,2016-06-10,shot,gun,50,M,Hispanic,Yakima,WA,FALSE,attack,Not fleeing,TRUE,-120.599,46.567,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Yakima, WA"
27,2016-06-13,shot,undetermined,43,M,White,Vancouver,WA,FALSE,other,Car,FALSE,-122.661,45.639,40-44,40-44,35-44,40-44,40-49,undetermined,undetermined,undetermined,undetermined,undetermined,Washington,7718785,7738692,"Vancouver, WA"
28,2016-07-31,shot,Taser,38,M,Hispanic,Wapato,WA,FALSE,other,Not fleeing,FALSE,-120.424,46.447,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,other weapon,Washington,7718785,7738692,"Wapato, WA"
29,2016-08-11,shot,gun,59,M,White,Tukwila,WA,TRUE,attack,Not fleeing,FALSE,-122.261,47.466,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Tukwila, WA"
30,2016-08-17,shot,piece of wood,27,M,Black,Kelso,WA,FALSE,attack,Not fleeing,FALSE,-122.917,46.146,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,other weapon,Washington,7718785,7738692,"Kelso, WA"
31,2016-08-30,tasered and shot,chainsaw,36,M,None,Graham,WA,TRUE,attack,Not fleeing,FALSE,-122.312,47.019,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Graham, WA"
32,2016-09-03,shot,undetermined,25,M,White,East Wenatchee,WA,FALSE,undetermined,Not fleeing,FALSE,-120.303,47.44,18-24,20-24,18-24,18-24,18-29,undetermined,undetermined,undetermined,undetermined,undetermined,Washington,7718785,7738692,"East Wenatchee, WA"
33,2016-09-09,shot,unknown weapon,64,M,White,Auburn,WA,TRUE,other,Not fleeing,FALSE,-122.21,47.317,60-65,60-65,55-65,Over 60,60-70,armed,armed,other weapon,other weapon,other weapon,Washington,7718785,7738692,"Auburn, WA"
34,2016-10-08,shot,knife,21,M,Hispanic,Federal Way,WA,TRUE,other,Not fleeing,FALSE,-122.296,47.343,18-24,20-24,18-24,18-24,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Federal Way, WA"
35,2016-10-11,shot,knife,44,M,Asian,Seattle,WA,FALSE,other,Not fleeing,FALSE,,,40-44,40-44,35-44,40-44,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Seattle, WA"
36,2016-10-13,shot,gun,38,M,White,Kent,WA,FALSE,other,Not fleeing,FALSE,-122.226,47.384,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Kent, WA"
37,2016-10-21,shot,gun,23,F,Native,Muckleshoot Indian Reservation,WA,TRUE,other,Not fleeing,FALSE,-122.131,47.259,18-24,20-24,18-24,18-24,18-29,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Muckleshoot Indian Reservation, WA"
38,2016-11-05,shot,gun,59,M,None,Beaver,WA,TRUE,other,unknown,FALSE,-124.348,48.057,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Beaver, WA"
39,2016-12-01,shot,gun,38,M,Black,Tacoma,WA,FALSE,attack,Not fleeing,FALSE,-122.419,47.21,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Tacoma, WA"
40,2016-12-17,shot,gun,44,M,Native,Everett,WA,FALSE,other,Not fleeing,FALSE,-122.214,47.966,40-44,40-44,35-44,40-44,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Everett, WA"
41,2016-12-18,shot,gun,37,M,White,Ridgefield,WA,FALSE,other,Not fleeing,FALSE,-122.713,45.83,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Ridgefield, WA"
42,2017-01-15,tasered and shot,knife,33,M,White,Spokane,WA,FALSE,other,Foot,TRUE,-117.434,47.651,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Spokane, WA"
43,2017-01-28,shot,gun,17,M,Black,Des Moines,WA,FALSE,attack,Not fleeing,FALSE,-122.296,47.408,Under 18,15-19,Under 18,Under 18,Under 18,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Des Moines, WA"
44,2017-01-30,shot,knife,36,M,White,Lynnwood,WA,TRUE,other,Not fleeing,FALSE,-122.311,47.829,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Lynnwood, WA"
45,2017-02-09,tasered and shot,knife,33,M,Hispanic,Lake Stevens,WA,TRUE,other,Not fleeing,FALSE,-122.088,47.979,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Lake Stevens, WA"
46,2017-02-10,shot,knife,25,M,White,Vancouver,WA,FALSE,other,Foot,FALSE,-122.613,45.652,18-24,20-24,18-24,18-24,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Vancouver, WA"
47,2017-03-12,shot,knife,28,M,Hispanic,Bellingham,WA,FALSE,attack,Foot,TRUE,-122.475,48.751,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Bellingham, WA"
48,2017-03-14,shot,Unknown,36,M,White,Fife,WA,FALSE,attack,Not fleeing,FALSE,-122.364,47.239,35-39,35-39,35-44,35-39,30-39,,,,,,Washington,7718785,7738692,"Fife, WA"
49,2017-03-23,shot,machete,51,M,Black,Des Moines,WA,TRUE,other,Not fleeing,FALSE,-122.31,47.393,50-54,50-54,45-54,50-54,50-59,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Des Moines, WA"
50,2017-04-14,shot,gun,33,M,White,Spanaway,WA,TRUE,other,Car,FALSE,-122.355,47.084,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Spanaway, WA"
51,2017-04-20,shot,gun,19,M,Black,Seattle,WA,FALSE,attack,unknown,FALSE,-122.337,47.604,18-24,15-19,18-24,18-24,18-29,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Seattle, WA"
52,2017-06-06,shot,gun,50,M,None,Vancouver,WA,FALSE,attack,Car,FALSE,-122.486,45.676,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Vancouver, WA"
53,2017-06-10,shot,knife,25,M,Other,Auburn,WA,FALSE,other,Car,FALSE,-122.224,47.288,18-24,20-24,18-24,18-24,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Auburn, WA"
54,2017-06-14,tasered and shot,pen,20,M,Asian,Burien,WA,FALSE,attack,Not fleeing,FALSE,-122.33,47.481,18-24,15-19,18-24,18-24,18-29,armed,armed,other weapon,other weapon,other weapon,Washington,7718785,7738692,"Burien, WA"
55,2017-06-18,shot,knife,30,F,Black,Seattle,WA,TRUE,other,Not fleeing,FALSE,-122.262,47.678,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Seattle, WA"
56,2017-06-24,shot,Unknown,20,M,Black,Kent,WA,FALSE,other,Car,FALSE,-122.209,47.383,18-24,15-19,18-24,18-24,18-29,,,,,,Washington,7718785,7738692,"Kent, WA"
57,2017-07-03,shot,gun,53,M,White,Spokane,WA,FALSE,other,Not fleeing,TRUE,-117.371,47.601,50-54,50-54,45-54,50-54,50-59,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Spokane, WA"
58,2017-07-04,shot,gun,46,M,White,Richland,WA,FALSE,other,Not fleeing,FALSE,-119.353,46.266,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,Washington,7718785,7738692,"Richland, WA"
59,2017-07-08,shot,knife,22,M,Asian,Lacey,WA,TRUE,other,Not fleeing,FALSE,,,18-24,20-24,18-24,18-24,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,Washington,7718785,7738692,"Lacey, WA"
