,Total Population,Hispanic or Latino,Not Hispanic or Latino:,Population of one race:,Population of two or more races:,FRACTotal,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Calc Total (Not Latino),Asian/NHPI Alone and in Combination
Oklahoma,3959353.0,471931.0,3487422.0,3113743.0,373679.0,373679.0,2578006.367,321364.45,103285.767,26923.817,447363.983,10477.617,3487422.001,113763.384
Oregon,4237256.0,588757.0,3648499.0,3389814.0,258685.0,258685.0,3157439.55,98519.933,226201.783,50509.717,89928.317,25899.7,3648499.0,252101.483
Pennsylvania,13002700.0,1049615.0,11953085.0,11501800.0,451285.0,451285.0,9758122.017,1451510.483,547719.483,110577.567,78129.233,7026.217,11953085.0,554745.7
Rhode Island,1097379.0,182101.0,915278.0,863028.0,52250.0,52250.0,772069.7,67797.85,42415.25,23099.85,9131.2,764.15,915278.0,43179.4
South Carolina,5118425.0,352838.0,4765587.0,4576007.0,189580.0,189580.0,3263380.417,1306379.567,103830.85,34185.717,52820.433,4990.017,4765587.001,108820.867
South Dakota,886667.0,38741.0,847926.0,813494.0,34432.0,34432.0,721736.25,20999.95,15520.833,4974.017,83822.517,872.433,847926.0,16393.266
Tennessee,6910840.0,479187.0,6431653.0,6161430.0,270223.0,270223.0,5025320.717,1127694.133,153309.583,44677.767,74502.333,6148.467,6431653.0,159458.05000000002
Texas,29145505.0,11441717.0,17703788.0,16817693.0,886095.0,886095.0,11978551.667,3579695.833,1663060.867,198240.95,241992.083,42246.6,17703788.0,1705307.4670000002
Utah,3271616.0,492912.0,2778704.0,2658252.0,120452.0,120452.0,2521181.3,47062.867,97604.283,24487.117,43384.067,44984.367,2778704.001,142588.65
Vermont,643077.0,15504.0,627573.0,598024.0,29549.0,29549.0,587507.1,10793.833,13575.583,6610.333,8723.25,362.9,627572.999,13938.483
Virginia,8631393.0,908749.0,7722644.0,7317734.0,404910.0,404910.0,5235985.067,1653559.867,672914.283,76324.367,72191.967,11668.45,7722644.001,684582.733
Washington,7705281.0,1059213.0,6646068.0,6134954.0,511114.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,6646068.0,894443.15
West Virginia,1793716.0,34827.0,1758889.0,1686754.0,72135.0,72135.0,1633302.667,75925.45,18119.617,11579.75,19060.95,900.567,1758889.001,19020.183999999997
Wisconsin,5893718.0,447290.0,5446428.0,5242682.0,203746.0,203746.0,4729720.233,397102.2,192411.883,40887.067,82465.2,3841.417,5446428.0,196253.3
Wyoming,576851.0,59046.0,517805.0,494131.0,23674.0,23674.0,481040.233,6424.45,6790.15,5474.633,17174.65,900.883,517804.999,7691.032999999999
