,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned_11_18,age_binned_11_15,age_binned_7,age_binned_to_60,age_binned_7_diff,armed_3,armed_4_toy,armed_4,armed_5_toy,armed_7,count,state_name,PopEstimate2020,PopEstimate2021,city/state,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Asian/NHPI Alone and in Combination
644,2016-03-30,shot,gun,33,M,White,Los Angeles,CA,FALSE,attack,Foot,FALSE,-118.139,34.015,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Los Angeles, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
645,2016-04-06,tasered and shot,knife,20,M,Hispanic,Sylmar,CA,TRUE,attack,Not fleeing,FALSE,-118.453,34.308,TRUE,18-24,15-19,18-24,18-24,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Sylmar, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
646,2016-04-07,shot,knife,45,M,Hispanic,San Francisco,CA,FALSE,other,Not fleeing,FALSE,-122.416,37.762,TRUE,40-44,40-44,35-44,40-44,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"San Francisco, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
647,2016-04-08,shot,knife,40,M,Black,Sacramento,CA,TRUE,other,Foot,FALSE,-121.44,38.482,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Sacramento, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
648,2016-04-10,shot,gun,39,M,White,Modesto,CA,FALSE,other,Car,FALSE,-120.962,37.649,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Modesto, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
649,2016-04-10,shot,knife,28,M,Hispanic,Los Angeles,CA,FALSE,attack,Not fleeing,FALSE,-118.226,34.049,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Los Angeles, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
650,2016-04-13,shot,undetermined,35,M,Black,Stockton,CA,FALSE,attack,Not fleeing,FALSE,-121.295,38.024,TRUE,30-34,30-34,25-34,30-34,30-39,undetermined,undetermined,undetermined,undetermined,undetermined,1,California,39499738,39237836,"Stockton, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
651,2016-04-15,shot,baseball bat,38,M,Hispanic,Lake Elsinore,CA,FALSE,other,Not fleeing,FALSE,-117.333,33.669,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,other weapon,1,California,39499738,39237836,"Lake Elsinore, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
652,2016-04-30,shot,knife,28,M,Asian,Los Angeles,CA,FALSE,other,Not fleeing,TRUE,-118.472,34.228,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Los Angeles, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
653,2016-05-03,shot,knife,59,M,White,Visalia,CA,FALSE,other,Not fleeing,FALSE,-119.264,36.343,TRUE,55-59,55-59,55-65,55-60,50-59,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Visalia, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
654,2016-05-04,shot,knife,18,M,Black,Temecula,CA,FALSE,other,Not fleeing,FALSE,-117.09,33.478,TRUE,Under 18,15-19,Under 18,Under 18,Under 18,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Temecula, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
655,2016-05-08,shot,toy weapon,21,M,Black,Long Beach,CA,FALSE,other,Not fleeing,FALSE,-118.191,33.795,TRUE,18-24,20-24,18-24,18-24,18-29,unarmed,toy weapon,unarmed,toy weapon,toy weapon,1,California,39499738,39237836,"Long Beach, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
656,2016-05-11,shot,Unknown,33,M,Asian,San Diego,CA,FALSE,other,Car,TRUE,-117.056,32.705,TRUE,30-34,30-34,25-34,30-34,30-39,,,,,,1,California,39499738,39237836,"San Diego, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
657,2016-05-13,shot,gun,28,M,Hispanic,Boyle Heights,CA,FALSE,attack,Not fleeing,TRUE,-118.202,34.026,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Boyle Heights, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
658,2016-05-17,shot,ax,36,M,White,Siskiyou County,CA,TRUE,other,Not fleeing,FALSE,-121.48,41.961,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Siskiyou County, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
659,2016-05-19,shot,unarmed,29,F,Black,San Francisco,CA,FALSE,other,Car,FALSE,-122.431,37.732,TRUE,25-29,25-29,25-34,25-29,18-29,unarmed,unarmed,unarmed,unarmed,unarmed,1,California,39499738,39237836,"San Francisco, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
660,2016-05-19,shot,knife,35,M,Hispanic,Citrus Heights,CA,FALSE,other,Not fleeing,TRUE,-121.276,38.674,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Citrus Heights, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
661,2016-05-26,shot,gun,19,M,Hispanic,Solvang,CA,FALSE,attack,Car,FALSE,,,TRUE,18-24,15-19,18-24,18-24,18-29,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Solvang, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
662,2016-06-04,shot,undetermined,31,M,White,Yreka,CA,FALSE,attack,Not fleeing,FALSE,-122.634,41.735,TRUE,30-34,30-34,25-34,30-34,30-39,undetermined,undetermined,undetermined,undetermined,undetermined,1,California,39499738,39237836,"Yreka, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
663,2016-06-07,shot,vehicle,21,M,Hispanic,Turlock,CA,FALSE,other,Not fleeing,FALSE,-120.874,37.493,TRUE,18-24,20-24,18-24,18-24,18-29,armed,armed,other weapon,other weapon,other weapon,1,California,39499738,39237836,"Turlock, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
664,2016-06-10,shot,gun,31,M,Black,Los Angeles,CA,FALSE,attack,Not fleeing,FALSE,-118.333,33.989,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Los Angeles, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
665,2016-06-11,shot,spear,31,M,Hispanic,Maywood,CA,FALSE,other,Not fleeing,FALSE,-118.193,33.994,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Maywood, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
666,2016-06-14,shot,undetermined,22,M,Hispanic,Chula Vista,CA,FALSE,attack,Not fleeing,FALSE,-116.961,32.662,TRUE,18-24,20-24,18-24,18-24,18-29,undetermined,undetermined,undetermined,undetermined,undetermined,1,California,39499738,39237836,"Chula Vista, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
667,2016-06-18,shot,Unknown,17,M,White,Carmichael,CA,FALSE,other,Car,FALSE,-121.333,38.634,TRUE,Under 18,15-19,Under 18,Under 18,Under 18,,,,,,1,California,39499738,39237836,"Carmichael, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
668,2016-06-25,shot,unarmed,19,M,White,Fresno,CA,TRUE,other,Car,TRUE,-119.673,36.779,TRUE,18-24,15-19,18-24,18-24,18-29,unarmed,unarmed,unarmed,unarmed,unarmed,1,California,39499738,39237836,"Fresno, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
669,2016-06-28,shot,knife,27,M,Asian,Long Beach,CA,FALSE,other,Foot,FALSE,-117.783,33.542,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Long Beach, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
670,2016-07-03,shot,Unknown,19,M,Hispanic,Fullerton,CA,FALSE,other,Car,FALSE,-117.974,33.87,TRUE,18-24,15-19,18-24,18-24,18-29,,,,,,1,California,39499738,39237836,"Fullerton, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
671,2016-07-04,shot,gun,18,M,Hispanic,San Jose,CA,TRUE,other,Not fleeing,FALSE,-121.807,37.368,TRUE,Under 18,15-19,Under 18,Under 18,Under 18,armed,armed,gun,gun,gun,1,California,39499738,39237836,"San Jose, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
672,2016-07-05,shot,undetermined,49,M,White,Temecula,CA,FALSE,other,Car,FALSE,-117.141,33.512,TRUE,45-49,45-49,45-54,45-49,40-49,undetermined,undetermined,undetermined,undetermined,undetermined,1,California,39499738,39237836,"Temecula, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
673,2016-07-07,shot,knife,37,M,Hispanic,Bell,CA,FALSE,other,Not fleeing,FALSE,-118.188,33.971,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Bell, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
674,2016-07-07,shot,Unknown,33,M,White,Clovis,CA,FALSE,other,Car,FALSE,-119.703,36.825,TRUE,30-34,30-34,25-34,30-34,30-39,,,,,,1,California,39499738,39237836,"Clovis, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
675,2016-07-11,shot,knife,50,M,Black,Sacramento,CA,TRUE,other,Not fleeing,TRUE,-121.461,38.605,TRUE,45-49,45-49,45-54,45-49,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Sacramento, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
676,2016-07-16,tasered and shot,gun,26,M,White,San Bernardino,CA,FALSE,attack,Other,FALSE,-117.287,34.136,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,1,California,39499738,39237836,"San Bernardino, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
677,2016-07-20,shot,knife,31,M,Hispanic,Santa Maria,CA,TRUE,other,Not fleeing,FALSE,-120.438,34.935,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Santa Maria, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
678,2016-07-23,shot,gun,31,M,Black,Chino,CA,FALSE,attack,Foot,FALSE,-117.689,34.033,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Chino, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
679,2016-07-24,shot,hatchet and gun,36,M,White,Winchester,CA,TRUE,attack,Not fleeing,FALSE,-117.048,33.729,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Winchester, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
680,2016-07-25,shot,gun,18,M,Black,Los Angeles,CA,FALSE,attack,Foot,FALSE,-118.249,33.935,TRUE,Under 18,15-19,Under 18,Under 18,Under 18,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Los Angeles, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
681,2016-07-27,shot,knife,24,M,Hispanic,San Bernardino,CA,TRUE,other,Not fleeing,FALSE,-117.314,34.132,TRUE,18-24,20-24,18-24,18-24,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"San Bernardino, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
682,2016-07-28,shot,undetermined,47,M,Black,La Quinta,CA,FALSE,other,Car,FALSE,-116.269,33.697,TRUE,45-49,45-49,45-54,45-49,40-49,undetermined,undetermined,undetermined,undetermined,undetermined,1,California,39499738,39237836,"La Quinta, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
683,2016-07-28,shot,unarmed,27,M,Black,Compton,CA,FALSE,attack,Other,FALSE,-118.246,33.91,TRUE,25-29,25-29,25-34,25-29,18-29,unarmed,unarmed,unarmed,unarmed,unarmed,1,California,39499738,39237836,"Compton, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
684,2016-07-28,shot,gun,36,M,Hispanic,City Terrace,CA,FALSE,other,Car,TRUE,-118.193,34.053,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,California,39499738,39237836,"City Terrace, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
685,2016-08-01,shot,undetermined,32,M,White,Santa Ana,CA,TRUE,attack,Not fleeing,FALSE,-118.316,34.111,TRUE,30-34,30-34,25-34,30-34,30-39,undetermined,undetermined,undetermined,undetermined,undetermined,1,California,39499738,39237836,"Santa Ana, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
686,2016-08-02,shot,unarmed,51,M,White,Castaic,CA,FALSE,other,Foot,FALSE,-118.618,34.491,TRUE,50-54,50-54,45-54,50-54,50-59,unarmed,unarmed,unarmed,unarmed,unarmed,1,California,39499738,39237836,"Castaic, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
687,2016-08-05,shot,crossbow,31,M,None,Santee,CA,TRUE,attack,Not fleeing,FALSE,-116.982,32.866,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,other weapon,1,California,39499738,39237836,"Santee, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
688,2016-08-08,shot,toy weapon,56,M,White,Citrus Heights,CA,FALSE,attack,Not fleeing,FALSE,-121.302,38.697,TRUE,55-59,55-59,55-65,55-60,50-59,unarmed,toy weapon,unarmed,toy weapon,toy weapon,1,California,39499738,39237836,"Citrus Heights, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
689,2016-08-09,shot,gun,14,M,Hispanic,Los Angeles,CA,FALSE,attack,Foot,TRUE,-118.215,34.038,TRUE,Under 18,Under 15,Under 18,Under 18,Under 18,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Los Angeles, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
690,2016-08-11,shot,knife,33,M,Hispanic,Vista,CA,FALSE,other,Other,FALSE,-117.258,33.196,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Vista, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
691,2016-08-13,shot,Unknown,36,M,Hispanic,Hayward,CA,FALSE,other,Car,FALSE,-122.08,37.636,TRUE,35-39,35-39,35-44,35-39,30-39,,,,,,1,California,39499738,39237836,"Hayward, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
692,2016-08-16,shot,gun,30,M,Black,Stockton,CA,FALSE,other,Foot,TRUE,-121.252,37.987,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Stockton, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
693,2016-08-16,shot,gun,18,M,Black,Los Angeles,CA,FALSE,other,Foot,FALSE,-118.281,33.945,TRUE,Under 18,15-19,Under 18,Under 18,Under 18,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Los Angeles, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
694,2016-08-18,shot,gun,37,M,Hispanic,Bakersfield,CA,FALSE,attack,Car,FALSE,-118.983,35.35,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Bakersfield, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
695,2016-08-18,shot,knife,40,M,White,Antelope,CA,FALSE,other,Not fleeing,FALSE,-121.32,38.713,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Antelope, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
696,2016-08-18,shot,gun,38,M,White,Poway,CA,FALSE,attack,Car,FALSE,-117.028,32.956,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Poway, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
697,2016-08-18,shot,gun,59,M,White,McKinneyville,CA,TRUE,attack,Not fleeing,FALSE,-99.902,31.969,TRUE,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,1,California,39499738,39237836,"McKinneyville, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
698,2016-08-19,shot,gun,47,M,Hispanic,East Hollywood,CA,TRUE,other,Not fleeing,FALSE,-118.306,34.097,TRUE,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,1,California,39499738,39237836,"East Hollywood, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
699,2016-08-20,shot,scissors,71,M,Hispanic,Indio,CA,TRUE,other,Not fleeing,TRUE,-116.216,33.726,TRUE,Over 65,Over 65,Over 65,Over 60,60-70,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Indio, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
700,2016-08-25,shot,gun,31,M,Black,Compton,CA,FALSE,attack,Foot,FALSE,-118.24,33.899,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Compton, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
701,2016-08-25,shot,undetermined,32,M,Hispanic,Compton,CA,FALSE,other,Not fleeing,FALSE,,,TRUE,30-34,30-34,25-34,30-34,30-39,undetermined,undetermined,undetermined,undetermined,undetermined,1,California,39499738,39237836,"Compton, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
702,2016-08-29,tasered and shot,knife,56,M,White,San Bernardino,CA,FALSE,attack,Not fleeing,FALSE,-117.306,34.129,TRUE,55-59,55-59,55-65,55-60,50-59,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"San Bernardino, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
703,2016-09-01,shot,gun,23,M,Hispanic,Florence,CA,FALSE,other,Foot,FALSE,-118.243,33.963,TRUE,18-24,20-24,18-24,18-24,18-29,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Florence, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
704,2016-09-01,tasered and shot,pipe/pole,33,M,Hispanic,Huntington Park,CA,FALSE,other,Not fleeing,FALSE,-118.225,33.991,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,other weapon,1,California,39499738,39237836,"Huntington Park, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
705,2016-09-04,shot,knife,33,M,Hispanic,Long Beach,CA,TRUE,other,Not fleeing,FALSE,-118.155,33.787,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Long Beach, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
706,2016-09-08,shot,toy weapon,38,M,Hispanic,Delhi,CA,FALSE,attack,Not fleeing,FALSE,-120.781,37.422,TRUE,35-39,35-39,35-44,35-39,30-39,unarmed,toy weapon,unarmed,toy weapon,toy weapon,1,California,39499738,39237836,"Delhi, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
707,2016-09-12,shot,gun,86,M,None,Saratoga,CA,FALSE,other,Not fleeing,FALSE,-122.009,37.292,TRUE,Over 65,Over 65,Over 65,Over 60,Over 70,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Saratoga, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
708,2016-09-12,shot,unarmed,25,M,Hispanic,Colton,CA,FALSE,other,Car,FALSE,-117.311,34.072,TRUE,18-24,20-24,18-24,18-24,18-29,unarmed,unarmed,unarmed,unarmed,unarmed,1,California,39499738,39237836,"Colton, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
709,2016-09-17,shot,hatchet,42,M,White,Beaumont,CA,FALSE,other,Not fleeing,FALSE,-116.949,33.929,TRUE,40-44,40-44,35-44,40-44,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Beaumont, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
710,2016-09-23,shot,unarmed,41,M,White,Fair Oaks,CA,FALSE,attack,Foot,FALSE,-121.23,38.665,TRUE,40-44,40-44,35-44,40-44,40-49,unarmed,unarmed,unarmed,unarmed,unarmed,1,California,39499738,39237836,"Fair Oaks, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
711,2016-09-27,shot,unarmed,38,M,Black,El Cajon,CA,TRUE,attack,Not fleeing,TRUE,-116.952,32.808,TRUE,35-39,35-39,35-44,35-39,30-39,unarmed,unarmed,unarmed,unarmed,unarmed,1,California,39499738,39237836,"El Cajon, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
712,2016-10-01,shot,gun,18,M,Black,Los Angeles,CA,FALSE,other,Foot,TRUE,-118.307,33.939,TRUE,Under 18,15-19,Under 18,Under 18,Under 18,armed,armed,gun,gun,gun,1,California,39499738,39237836,"Los Angeles, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
713,2016-10-02,shot,toy weapon,16,M,Hispanic,Los Angeles,CA,TRUE,attack,Not fleeing,TRUE,-118.25,34.0,TRUE,Under 18,15-19,Under 18,Under 18,Under 18,unarmed,toy weapon,unarmed,toy weapon,toy weapon,1,California,39499738,39237836,"Los Angeles, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
714,2016-10-08,shot,knife,53,F,White,Modesto,CA,FALSE,attack,Not fleeing,FALSE,-120.968,37.665,TRUE,50-54,50-54,45-54,50-54,50-59,armed,armed,other weapon,other weapon,knife/cutting instrument,1,California,39499738,39237836,"Modesto, CA",39538223.0,15579652.0,22330849.0,1627722.0,14410773.533,2309607.45,6342213.817,365915.467,330757.95,199302.783,6541516.6
