,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned_11_18,age_binned_11_15,age_binned_7,age_binned_to_60,age_binned_7_diff,armed_3,armed_4_toy,armed_4,armed_5_toy,armed_7,count,state_name,PopEstimate2020,PopEstimate2021,city/state,Total Population,Hispanic or Latino,Population of one race:,Population of two or more races:,White Alone and in Combination,Black Alone and in Combination,Asian Alone and in Combination,Other Alone and in Combination,Native Alone and in Combination,NHPI Alone and in Combination,Asian/NHPI Alone and in Combination
15,2015-12-13,shot,knife,30,M,Other,Thurston County,WA,FALSE,attack,Not fleeing,FALSE,-122.762,47.002,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Thurston County, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
16,2016-01-05,shot,Unknown,29,M,White,Olympia,WA,FALSE,attack,Foot,FALSE,-122.332,47.606,TRUE,25-29,25-29,25-34,25-29,18-29,,,,,,1,Washington,7718785,7738692,"Olympia, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
17,2016-01-10,shot,chainsaw,37,M,White,Kelso,WA,TRUE,other,Not fleeing,FALSE,-122.669,46.16,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Kelso, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
18,2016-01-13,shot,gun,60,M,White,Cle Elum,WA,TRUE,attack,Not fleeing,FALSE,-120.954,47.197,TRUE,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Cle Elum, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
19,2016-01-28,shot,vehicle,32,F,Native,Tacoma,WA,FALSE,other,Not fleeing,FALSE,-122.454,47.234,TRUE,30-34,30-34,25-34,30-34,30-39,armed,armed,other weapon,other weapon,other weapon,1,Washington,7718785,7738692,"Tacoma, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
20,2016-02-20,shot,gun,41,M,Black,Lakewood,WA,FALSE,attack,Car,FALSE,-122.559,47.12,TRUE,40-44,40-44,35-44,40-44,40-49,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Lakewood, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
21,2016-02-21,shot,undetermined,46,M,Black,Seattle,WA,FALSE,other,Not fleeing,FALSE,-122.306,47.691,TRUE,45-49,45-49,45-54,45-49,40-49,undetermined,undetermined,undetermined,undetermined,undetermined,1,Washington,7718785,7738692,"Seattle, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
22,2016-03-13,shot,hammer,38,F,White,Vancouver,WA,TRUE,attack,Not fleeing,FALSE,-122.574,45.682,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,other weapon,1,Washington,7718785,7738692,"Vancouver, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
23,2016-04-28,tasered and shot,knife,45,M,White,Spokane,WA,TRUE,other,Not fleeing,TRUE,-117.412,47.656,TRUE,40-44,40-44,35-44,40-44,40-49,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Spokane, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
24,2016-05-04,shot,gun,39,M,White,Burien,WA,FALSE,attack,Car,FALSE,-122.361,47.494,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Burien, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
25,2016-05-07,shot,gun,29,M,White,Lake Stevens,WA,TRUE,other,Not fleeing,FALSE,-122.065,48.048,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Lake Stevens, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
26,2016-06-10,shot,gun,50,M,Hispanic,Yakima,WA,FALSE,attack,Not fleeing,TRUE,-120.599,46.567,TRUE,45-49,45-49,45-54,45-49,40-49,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Yakima, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
27,2016-06-13,shot,undetermined,43,M,White,Vancouver,WA,FALSE,other,Car,FALSE,-122.661,45.639,TRUE,40-44,40-44,35-44,40-44,40-49,undetermined,undetermined,undetermined,undetermined,undetermined,1,Washington,7718785,7738692,"Vancouver, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
28,2016-07-31,shot,Taser,38,M,Hispanic,Wapato,WA,FALSE,other,Not fleeing,FALSE,-120.424,46.447,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,other weapon,1,Washington,7718785,7738692,"Wapato, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
29,2016-08-11,shot,gun,59,M,White,Tukwila,WA,TRUE,attack,Not fleeing,FALSE,-122.261,47.466,TRUE,55-59,55-59,55-65,55-60,50-59,armed,armed,gun,gun,gun,1,Washington,7718785,7738692,"Tukwila, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
30,2016-08-17,shot,piece of wood,27,M,Black,Kelso,WA,FALSE,attack,Not fleeing,FALSE,-122.917,46.146,TRUE,25-29,25-29,25-34,25-29,18-29,armed,armed,other weapon,other weapon,other weapon,1,Washington,7718785,7738692,"Kelso, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
31,2016-08-30,tasered and shot,chainsaw,36,M,None,Graham,WA,TRUE,attack,Not fleeing,FALSE,-122.312,47.019,TRUE,35-39,35-39,35-44,35-39,30-39,armed,armed,other weapon,other weapon,knife/cutting instrument,1,Washington,7718785,7738692,"Graham, WA",7705281.0,1059213.0,6134954.0,511114.0,5149199.717,350093.05,813065.583,87714.85,164617.233,81377.567,894443.15
