,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,state_name,PopEstimate2015,PopEstimate2016,PopEstimate2017,PopEstimate2018,PopEstimate2019,PopEstimate2020,PopEstimate2021,city/state
5327,2018-05-30,shot,gun,23,M,Black,Florida City,FL,False,undetermined,Not fleeing,False,True,18-29,armed,gun,gun,1,5,2018,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Florida City, FL"
5328,2018-06-01,shot,unarmed,21,M,Hispanic,Dundee,FL,False,attack,Not fleeing,False,True,18-29,unarmed,unarmed,unarmed,1,6,2018,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Dundee, FL"
5329,2018-06-13,shot,toy weapon,21,M,White,Eustis,FL,True,attack,Not fleeing,False,True,18-29,unarmed,unarmed,toy weapon,1,6,2018,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Eustis, FL"
5330,2018-06-29,shot,gun,54,M,White,Dade City,FL,True,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,6,2018,2,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Dade City, FL"
5331,2018-07-05,shot,gun,55,M,White,Eustis,FL,True,other,Not fleeing,False,True,45-59,armed,gun,gun,1,7,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Eustis, FL"
5332,2018-07-07,shot,knife,52,M,White,Jacksonville,FL,True,attack,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,7,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Jacksonville, FL"
5333,2018-07-10,shot,gun,53,M,Hispanic,Miami,FL,False,attack,Car,False,True,45-59,armed,gun,gun,1,7,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miami, FL"
5334,2018-07-20,shot,gun,38,M,White,Lady Lake,FL,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,7,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Lady Lake, FL"
5335,2018-07-24,shot,gun,19,M,Black,Starke,FL,False,other,Car,False,True,18-29,armed,gun,gun,1,7,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Starke, FL"
5336,2018-08-02,shot,toy weapon,18,M,White,Apopka,FL,False,attack,Not fleeing,False,True,Under 18,unarmed,unarmed,toy weapon,1,8,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Apopka, FL"
5337,2018-08-03,shot,Taser,29,M,Hispanic,Seville,FL,True,other,Not fleeing,True,True,18-29,armed,other weapon,other weapon,1,8,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Seville, FL"
5338,2018-08-04,shot,gun,38,M,White,Delray Beach,FL,True,other,Not fleeing,False,True,30-44,armed,gun,gun,1,8,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Delray Beach, FL"
5339,2018-08-16,shot,gun,58,M,White,Olustee,FL,False,attack,Not fleeing,False,True,45-59,armed,gun,gun,1,8,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Olustee, FL"
5340,2018-08-30,shot,gun,45,F,White,Beverly Hills,FL,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,8,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Beverly Hills, FL"
5341,2018-08-31,shot,gun,64,M,White,Floral City,FL,True,attack,Not fleeing,False,True,60-75,armed,gun,gun,1,8,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Floral City, FL"
5342,2018-09-05,shot,unarmed,23,M,Black,Hollywood,FL,False,other,Not fleeing,False,True,18-29,unarmed,unarmed,unarmed,1,9,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Hollywood, FL"
5343,2018-09-20,shot,gun,40,M,Hispanic,Miami,FL,False,attack,Car,False,True,30-44,armed,gun,gun,1,9,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miami, FL"
5344,2018-09-25,shot,gun,34,M,Black,Orlando,FL,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,9,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Orlando, FL"
5345,2018-09-27,shot,gun,41,M,Black,Palatka,FL,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,9,2018,3,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Palatka, FL"
5346,2018-10-01,shot,unarmed,33,M,White,Orlando,FL,True,other,Not fleeing,False,True,30-44,unarmed,unarmed,unarmed,1,10,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Orlando, FL"
5347,2018-10-07,shot,gun,39,M,White,Lawtey,FL,True,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,10,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Lawtey, FL"
5348,2018-10-19,shot,vehicle,21,M,Black,Miami,FL,False,attack,Car,False,True,18-29,armed,other weapon,other weapon,1,10,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miami, FL"
5349,2018-10-21,shot,undetermined,37,M,None,Quincy,FL,False,undetermined,Car,False,True,30-44,undetermined,undetermined,undetermined,1,10,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Quincy, FL"
5350,2018-10-31,shot,gun,32,M,White,Port Orange,FL,False,attack,Not fleeing,True,True,30-44,armed,gun,gun,1,10,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Port Orange, FL"
5351,2018-10-31,shot,gun,24,M,Black,Jacksonville,FL,False,other,Foot,False,True,18-29,armed,gun,gun,1,10,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Jacksonville, FL"
5352,2018-11-05,shot,gun,72,M,White,Port Charlotte,FL,True,attack,Not fleeing,False,True,60-75,armed,gun,gun,1,11,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Port Charlotte, FL"
5353,2018-11-06,shot,gun,67,M,None,St. Cloud,FL,True,attack,Not fleeing,False,True,60-75,armed,gun,gun,1,11,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"St. Cloud, FL"
5354,2018-11-17,shot,vehicle,27,M,Black,Fort Pierce,FL,False,attack,Car,False,True,18-29,armed,other weapon,other weapon,1,11,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Fort Pierce, FL"
5355,2018-12-01,shot,meat cleaver,65,M,Black,Pensacola,FL,False,attack,Not fleeing,False,True,60-75,armed,other weapon,knife/cutting instrument,1,12,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Pensacola, FL"
5356,2018-12-01,shot,straight edge razor,30,M,Black,Tamarac,FL,True,attack,Not fleeing,False,True,18-29,armed,other weapon,knife/cutting instrument,1,12,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Tamarac, FL"
5357,2018-12-07,shot,unknown weapon,51,M,Hispanic,Fort Pierce,FL,False,attack,Not fleeing,False,True,45-59,armed,other weapon,other weapon,1,12,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Fort Pierce, FL"
5358,2018-12-12,shot,gun,43,M,White,Jacksonville,FL,False,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,12,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Jacksonville, FL"
5359,2018-12-12,shot,toy weapon,18,M,White,Jacksonville,FL,False,attack,Not fleeing,False,True,Under 18,unarmed,unarmed,toy weapon,1,12,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Jacksonville, FL"
5360,2018-12-13,shot,gun,37,M,White,Bushnell,FL,False,attack,Car,False,True,30-44,armed,gun,gun,1,12,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Bushnell, FL"
5361,2018-12-21,shot,knife,56,M,White,Springfield,FL,False,other,Not fleeing,False,True,45-59,armed,other weapon,knife/cutting instrument,1,12,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Springfield, FL"
5362,2018-12-26,shot,vehicle,17,M,Black,Lakeland,FL,False,attack,Car,False,True,Under 18,armed,other weapon,other weapon,1,12,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Lakeland, FL"
5363,2018-12-26,shot,gun,35,M,Black,Clearwater,FL,True,attack,Not fleeing,False,True,30-44,armed,gun,gun,1,12,2018,4,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Clearwater, FL"
5364,2019-01-25,shot,gun,69,M,None,North Escambia,FL,True,attack,Not fleeing,False,True,60-75,armed,gun,gun,1,1,2019,1,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"North Escambia, FL"
5365,2019-02-03,shot,gun,18,M,White,Orange Park,FL,False,other,Not fleeing,False,True,Under 18,armed,gun,gun,1,2,2019,1,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Orange Park, FL"
5366,2019-02-22,shot,vehicle,21,M,Black,Miami Gardens,FL,False,attack,Car,False,True,18-29,armed,other weapon,other weapon,1,2,2019,1,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miami Gardens, FL"
5367,2019-03-05,tasered and shot,gun,32,M,Black,Jacksonville,FL,False,other,Not fleeing,False,True,30-44,armed,gun,gun,1,3,2019,1,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Jacksonville, FL"
5368,2019-03-12,shot,vehicle,32,F,Black,Miami,FL,False,other,Not fleeing,False,True,30-44,armed,other weapon,other weapon,1,3,2019,1,Florida,20209042,20613477,20963613,21244317,21477737,21569932,21781128,"Miami, FL"
