,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter
2056,2017-02-04,shot,gun,56,M,White,DeLand,FL,True,attack,Not fleeing,False,-81.416,28.971,True,45-59,armed,gun,gun,1,2,2017,1
2057,2017-02-04,shot,unarmed,23,M,Hispanic,Moultrie,GA,False,other,Not fleeing,False,-83.771,31.082,True,18-29,unarmed,unarmed,unarmed,1,2,2017,1
2058,2017-02-05,shot,unarmed,45,M,Black,Fremont,CA,True,attack,Not fleeing,False,-121.994,37.541,True,30-44,unarmed,unarmed,unarmed,1,2,2017,1
2059,2017-02-05,shot,gun,41,M,Black,Englewood,OH,True,attack,Not fleeing,True,-84.28,39.86,True,30-44,armed,gun,gun,1,2,2017,1
2060,2017-02-05,shot,undetermined,33,M,Hispanic,Pueblo,CO,False,other,Not fleeing,True,-104.639,38.251,True,30-44,undetermined,undetermined,undetermined,1,2,2017,1
2061,2017-02-06,shot,toy weapon,22,M,Black,Jacksonville,FL,False,attack,Not fleeing,False,-81.677,30.343,True,18-29,unarmed,unarmed,toy weapon,1,2,2017,1
2062,2017-02-06,shot,gun,50,M,Black,Commerce City,CO,True,attack,Not fleeing,False,-104.911,39.804,True,45-59,armed,gun,gun,1,2,2017,1
2063,2017-02-06,tasered and shot,knife,52,M,Hispanic,Santa Monica,CA,True,attack,Foot,False,-118.455,34.027,True,45-59,armed,other weapon,knife/cutting instrument,1,2,2017,1
2064,2017-02-07,shot,gun,35,M,White,Mt. Pleasant,TN,True,attack,Car,False,-87.217,35.519,True,30-44,armed,gun,gun,1,2,2017,1
2065,2017-02-07,shot,gun,18,M,Black,Baltimore,MD,False,other,Other,True,-76.647,39.287,True,Under 18,armed,gun,gun,1,2,2017,1
2066,2017-02-07,shot,gun,34,M,White,Howland Township,OH,False,attack,Not fleeing,False,-80.744,41.237,True,30-44,armed,gun,gun,1,2,2017,1
2067,2017-02-07,shot,undetermined,51,M,White,Richmond,KY,False,other,Not fleeing,False,-84.259,37.674,True,45-59,undetermined,undetermined,undetermined,1,2,2017,1
2068,2017-02-07,tasered and shot,piece of wood,18,M,White,Jackson County,AL,False,other,Not fleeing,False,-85.807,34.695,True,Under 18,armed,other weapon,other weapon,1,2,2017,1
2069,2017-02-08,shot,gun,29,M,White,Brookville,IN,False,other,Not fleeing,False,-85.013,39.428,True,18-29,armed,gun,gun,1,2,2017,1
2070,2017-02-08,shot,knife,34,M,Native,Anadarko,OK,False,other,Not fleeing,False,-98.246,35.082,True,30-44,armed,other weapon,knife/cutting instrument,1,2,2017,1
