,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,city/state
6111,2021-03-01,shot,baseball bat,46,M,White,Ozark,AR,False,other,Other,False,-93.938,35.486,True,45-59,armed,other weapon,other weapon,1,3,2021,1,"Ozark, AR"
6112,2021-03-01,shot,gun,55,M,Black,Detroit,MI,False,attack,Not fleeing,False,,,True,45-59,armed,gun,gun,1,3,2021,1,"Detroit, MI"
6113,2021-03-03,shot,gun,34,M,None,Houston,TX,False,other,Car,False,-95.37,29.76,True,30-44,armed,gun,gun,1,3,2021,1,"Houston, TX"
6114,2021-03-03,shot,gun,41,M,Black,Abbeville,LA,True,attack,Not fleeing,True,-92.124,29.965,True,30-44,armed,gun,gun,1,3,2021,1,"Abbeville, LA"
6115,2021-03-03,shot,gun,28,M,White,Selma,IN,False,attack,Car,False,,,True,18-29,armed,gun,gun,1,3,2021,1,"Selma, IN"
6116,2021-03-04,shot,toy weapon,17,M,White,Jamesville,NY,True,attack,Foot,False,-76.075,42.981,True,Under 18,unarmed,unarmed,toy weapon,1,3,2021,1,"Jamesville, NY"
6117,2021-03-04,shot,toy weapon,17,M,None,Jamesville,NY,True,attack,Foot,True,-76.075,42.981,True,Under 18,unarmed,unarmed,toy weapon,1,3,2021,1,"Jamesville, NY"
6118,2021-03-05,shot,gun,43,M,Black,Columbus,OH,False,attack,Car,False,-83.048,39.898,True,30-44,armed,gun,gun,1,3,2021,1,"Columbus, OH"
6119,2021-03-05,shot,gun,44,M,White,Odessa,TX,False,attack,Not fleeing,False,-102.317,31.855,True,30-44,armed,gun,gun,1,3,2021,1,"Odessa, TX"
6120,2021-03-05,shot,gun,37,M,None,Gainesville,FL,False,attack,Not fleeing,False,-82.268,29.63,True,30-44,armed,gun,gun,1,3,2021,1,"Gainesville, FL"
6121,2021-03-06,shot,gun,27,M,White,Fairbanks,AK,False,attack,Not fleeing,False,-147.87,64.824,True,18-29,armed,gun,gun,1,3,2021,1,"Fairbanks, AK"
6122,2021-03-07,shot,gun,35,M,Black,Lakeland,FL,False,attack,Not fleeing,False,-81.942,28.113,True,30-44,armed,gun,gun,1,3,2021,1,"Lakeland, FL"
6123,2021-03-07,shot,gun,43,M,White,Sparkman,AR,False,attack,Car,False,-92.848,33.917,True,30-44,armed,gun,gun,1,3,2021,1,"Sparkman, AR"
6124,2021-03-08,shot,gun,30,M,White,Burbank,CA,False,attack,Not fleeing,False,-118.338,34.196,True,18-29,armed,gun,gun,1,3,2021,1,"Burbank, CA"
6125,2021-03-09,shot,undetermined,30,M,White,Reedsport,OR,False,attack,Not fleeing,False,-124.111,43.699,True,18-29,undetermined,undetermined,undetermined,1,3,2021,1,"Reedsport, OR"
6126,2021-03-09,shot,gun,67,M,White,Minneola,KS,False,other,Car,False,-100.015,37.441,True,60-75,armed,gun,gun,1,3,2021,1,"Minneola, KS"
6127,2021-03-09,shot,gun,19,M,None,Riverside,CA,False,other,Foot,False,-117.344,33.976,True,18-29,armed,gun,gun,1,3,2021,1,"Riverside, CA"
6128,2021-03-10,shot,knife,29,M,Black,Rochester,NY,True,other,Foot,True,-77.617,43.157,True,18-29,armed,other weapon,knife/cutting instrument,1,3,2021,1,"Rochester, NY"
6129,2021-03-10,shot,gun,42,M,White,Red River Parish,LA,False,other,Other,False,-93.379,32.084,True,30-44,armed,gun,gun,1,3,2021,1,"Red River Parish, LA"
