,date,manner_of_death,armed,age,gender,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude,is_geocoding_exact,age_binned,armed_3,armed_4,armed_7,count,month,year,quarter,city/state
6214,2021-04-04,shot,gun,28,M,Black,Birmingham,AL,False,attack,Other,True,-86.841,33.515,True,18-29,armed,gun,gun,1,4,2021,2,"Birmingham, AL"
6215,2021-04-05,shot,toy weapon,16,M,Asian,Honolulu,HI,False,other,Car,True,-157.825,21.275,True,Under 18,unarmed,unarmed,toy weapon,1,4,2021,2,"Honolulu, HI"
6216,2021-04-05,shot,undetermined,41,M,None,Buena Vista,NJ,False,other,Car,False,-74.931,39.496,True,30-44,undetermined,undetermined,undetermined,1,4,2021,2,"Buena Vista, NJ"
6217,2021-04-05,tasered and shot,gun,25,M,None,Anadarko,OK,False,attack,Not fleeing,True,-98.246,35.081,True,18-29,armed,gun,gun,1,4,2021,2,"Anadarko, OK"
6218,2021-04-06,shot,knife,23,M,None,Oneonta,NY,False,other,Not fleeing,False,-75.077,42.445,True,18-29,armed,other weapon,knife/cutting instrument,1,4,2021,2,"Oneonta, NY"
6219,2021-04-06,shot,gun,40,F,White,Miami,FL,False,attack,Not fleeing,False,-80.196,25.762,True,30-44,armed,gun,gun,1,4,2021,2,"Miami, FL"
6220,2021-04-06,shot,gun,26,M,White,Redding,CA,False,attack,Other,False,-122.391,40.564,True,18-29,armed,gun,gun,1,4,2021,2,"Redding, CA"
6221,2021-04-07,shot,gun,24,M,Black,Philadelphia,PA,False,attack,Not fleeing,False,-75.147,40.035,True,18-29,armed,gun,gun,1,4,2021,2,"Philadelphia, PA"
6222,2021-04-07,shot,toy weapon,44,M,Black,Daly City,CA,False,other,Not fleeing,False,-122.469,37.699,True,30-44,unarmed,unarmed,toy weapon,1,4,2021,2,"Daly City, CA"
6223,2021-04-08,shot,gun,37,M,None,Tallahassee,FL,False,attack,Not fleeing,True,-84.317,30.452,True,30-44,armed,gun,gun,1,4,2021,2,"Tallahassee, FL"
